city,link
Los Angeles Landlord Tenant Rights,https://hcidla.lacity.org/RSO-Overview
San Francisco Landlord Tenant Rights,https://sfrb.org/rent-ordinance
San Jose Landlord Tenant Rights,https://www.sanjoseca.gov/your-government/departments/housing/renters-apartment-owners/apartment-rent-ordinance
San Diego Landlord Tenant Rights,https://www.sandiegocounty.gov/sdhcd/
Fresno Landlord Tenant Rights,https://www.fresno.gov/codeenforcement/wp-content/uploads/sites/19/2019/05/Quality-Neighborhoods-Guide-Neighborhood-Services.pdf
Sacramento Landlord Tenant Rights,https://sacramento.granicus.com/MetaViewer.php?view_id=22&clip_id=4468&meta_id=562147
Long Beach Landlord Tenant Rights,http://www.longbeach.gov/press-releases/new-tenant-relocation-assistance-ordinance-took-effect-today-august-1/
Oakland Landlord Tenant Rights,http://www.oaklandtenantsunion.org/know-your-rights.html
