eviction_reasons
"Nonpayment of rent - If a tenant fails to pay rent, then the landlord may issue a 7-Day Notice to Pay or Quit. If the tenant still does not pay, then the landlord may pursue formal eviction proceedings."
"Lease violation - If a lease violation occurs then the landlord may issue a 7-Day Notice to Cure or Quit. If the terms of the notice are not met, then the landlord may proceed with formal eviction proceedings."
Illegal acts - Illegal activities are handled in the same manner as material lease violations. Landlords may issue a 7-Day Notice to Quit. If the terms of the notice are not met then the landlord may file for eviction.
