rent_increases
"Rent control. Missouri law expressly forbids any kind of rent control policies. Thus, landlords can charge as much as they want for rent."
"Rent increases. By the same token, Missouri landlords can raise rental prices as much as they wish and they are neither required to give advanced notice or justification for rent hikes."
Rent-related fees. Landlords are not limited in how much they charge for late fees as long as it is included in the lease agreement. Returned check fees are limited to $25.
