eviction_reasons
"Nonpayment of rent - If a tenant fails to pay rent then the landlord may issue a 3-Day Notice to Pay or Quit. If they still do not pay after 3 days, the landlord may file for a Forced Entry Detainer and Summons."
"Lease violation - If a lease violation occurs then the landlord may issue a Demand for Compliance or Right to Possession Notice. The tenant then has 3 days to correct their behavior, then the landlord may initiate evictions."
"Illegal acts - Several illegal acts may be justification for eviction, such as assault or violence against other people, endangering landlord property, felony acts, criminal acts that carry a sentence of 180 or more days."
