rent_increases
"Rent control. North Carolina legislation currently prohibits rent control on both a state and local level. Thus, landlords can charge as much as they want for rent."
Rent increases. North Carolina landlords can raise tenants’ rent for whatever reason without prior notice.
"Additional fees. North Carolina landlords may charge up to $15 of 5% of monthly rent in late fees for month-to-month renters, and 4$ of 5% of rent for week-to-week renters. Landlords cannot charge more than $25 for returned check fees."
