eviction_reasons
"Nonpayment of rent - If a New Hampshire tenant fails to pay rent then the landlord may issue a 7-Day Notice to Pay or Quit. If the tenants still fail to pay, then the landlord may file a Summons and Complaint with a local court."
"Lease violation - If a lease violation occurs, then a tenant is entitled to receive a 30-Day Notice to Cure or Quit. If these terms are not met within the notice period, then the landlord may pursue formal eviction."
"Illegal acts - New Hampshire law does not establish illegal acts as justification for eviction. Nevertheless, language in almost all lease agreements have provisions for evictable illegal offenses. It’s customary for landlords to issue a 7-Day Notice to Quit."
