eviction_reasons
"Nonpayment of rent - If rent is late, landlords can issue a 5-Day Notice to Pay or Quit. If the tenant continues to not pay then the landlord can begin formal eviction proceedings."
"Violation of lease terms - If a lease violation occurs, then landlords may issue a 10-Day Notice to Cure or Quit. If the issue is not remedied then the landlord may begin formal eviction proceedings."
"Illegal acts - If a landlord has documentation of illegal activities taking place on the property, then they may issue a 5-Day Unconditional Notice to Quit."
