eviction_reasons
"Nonpayment of rent - If a tenant fails to pay rent, then the landlord may issue a 5-Day Notice to Pay or Quit after the state-mandated 15 day grace period. If the tenant still does not pay, then the landlord may pursue formal eviction."
"Lease violation - If a lease violation occurs, then the landlord may issue a 20-Day Notice to Cure or Quit. If the terms of the lease are not met within 21 days, then the landlord may pursue formal eviction."
"Illegal acts - Rhode Island landlords are empowered to evict tenants immediately if they have documentation of illegal drugs use, sale or criminally violent actions occurring on the property."
