eviction_reasons
"Nonpayment of rent - If rent is not paid, then the landlord may issue a 3-Day Notice to pay after any applicable grace period. If the tenant still does not pay then the landlord can pursue formal eviction."
"Violation of lease terms - If a lease violation occurs, landlords can issue a 7-Day Notice to Cure or Quit. If the behavior is not changed within 7 days then the landlord may pursue formal eviction."
"Illegal actions - If a landlord documents some illegal activity within 1,000 ft. of the property then they may issue a 3-Day Notice to Quit. Examples of illegal activities that warrant eviction in Iowa include assault, selling/using drugs, or owning an unregistered firearm."
