eviction_reasons
"Nonpayment of rent - If a tenant does not pay rent by the required date and after any applicable grace period, landlords may issue a 5-day Notice to Pay of Quit. If the amount is not paid within 5 days, then landlords may proceed with eviction."
"Violation of lease terms - If a lease violation occurs, then the landlord may issue a 15-day Notice for Cure or Quit. If the problem is not fixed, then landlords may proceed with the eviction. Landlords may immediately evict without notice if it is a serious infraction or is a second infraction."
"Illegal Acts - Landlords are entitled to immediately evict tenants without notice if they have proof of any illegal activity that threatens the safety, health, or enjoyment of other tenants."
